epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572629705816,2019-11-01T13.35.05.816,0.0,-0.78515625,-0.32177734375,0.6357421875
1572629705816,2019-11-01T13.35.05.816,0.0,-0.79150390625,-0.32421875,0.640625
1572629705816,2019-11-01T13.35.05.816,0.0,-0.791015625,-0.32373046875,0.64111328125
1572629705818,2019-11-01T13.35.05.818,0.00265598297119141,-0.79150390625,-0.32421875,0.640625
1572629705818,2019-11-01T13.35.05.818,0.00265598297119141,-0.791015625,-0.3232421875,0.64013671875
1572629705818,2019-11-01T13.35.05.818,0.00265598297119141,-0.791015625,-0.32421875,0.64013671875
1572629705875,2019-11-01T13.35.05.875,0.0593240261077881,-0.79150390625,-0.32470703125,0.64013671875
1572629705875,2019-11-01T13.35.05.875,0.0593240261077881,-0.791015625,-0.32421875,0.64111328125
1572629705875,2019-11-01T13.35.05.875,0.0593240261077881,-0.791015625,-0.3232421875,0.64013671875
1572629706055,2019-11-01T13.35.06.055,0.239012002944946,-0.79052734375,-0.3232421875,0.6396484375
1572629706055,2019-11-01T13.35.06.055,0.239012002944946,-0.791015625,-0.3232421875,0.64111328125
1572629706055,2019-11-01T13.35.06.055,0.239012002944946,-0.78955078125,-0.3232421875,0.64013671875
1572629706565,2019-11-01T13.35.06.565,0.749288082122803,-0.7900390625,-0.32421875,0.6396484375
1572629706565,2019-11-01T13.35.06.565,0.749288082122803,-0.791015625,-0.32373046875,0.6396484375
1572629706565,2019-11-01T13.35.06.565,0.749288082122803,-0.791015625,-0.32373046875,0.640625
1572629706745,2019-11-01T13.35.06.745,0.929443001747131,-0.7900390625,-0.32373046875,0.638671875
1572629706745,2019-11-01T13.35.06.745,0.929443001747131,-0.79052734375,-0.32421875,0.640625
1572629706745,2019-11-01T13.35.06.745,0.929443001747131,-0.7919921875,-0.3232421875,0.640625
1572629706865,2019-11-01T13.35.06.865,1.04942798614502,-0.791015625,-0.32373046875,0.6396484375
1572629706865,2019-11-01T13.35.06.865,1.04942798614502,-0.7900390625,-0.3232421875,0.6396484375
1572629706865,2019-11-01T13.35.06.865,1.04942798614502,-0.791015625,-0.32421875,0.6396484375
1572629707045,2019-11-01T13.35.07.045,1.22927904129028,-0.7919921875,-0.32421875,0.640625
1572629707045,2019-11-01T13.35.07.045,1.22927904129028,-0.79150390625,-0.32421875,0.640625
1572629707045,2019-11-01T13.35.07.045,1.22927904129028,-0.7900390625,-0.32421875,0.64013671875
1572629707255,2019-11-01T13.35.07.255,1.43939507007599,-0.79150390625,-0.32421875,0.6396484375
1572629707255,2019-11-01T13.35.07.255,1.43939507007599,-0.79150390625,-0.32421875,0.63916015625
1572629707255,2019-11-01T13.35.07.255,1.43939507007599,-0.791015625,-0.32373046875,0.6396484375
1572629707765,2019-11-01T13.35.07.765,1.94923007488251,-0.79052734375,-0.32373046875,0.64013671875
1572629707765,2019-11-01T13.35.07.765,1.94923007488251,-0.7900390625,-0.32421875,0.63916015625
1572629707765,2019-11-01T13.35.07.765,1.94923007488251,-0.79052734375,-0.32470703125,0.64111328125
1572629707766,2019-11-01T13.35.07.766,1.94985806941986,-0.79052734375,-0.32373046875,0.64013671875
1572629707766,2019-11-01T13.35.07.766,1.94985806941986,-0.791015625,-0.3232421875,0.64013671875
1572629707766,2019-11-01T13.35.07.766,1.94985806941986,-0.79150390625,-0.3232421875,0.64013671875
1572629708095,2019-11-01T13.35.08.095,2.27955508232117,-0.791015625,-0.32373046875,0.640625
1572629708095,2019-11-01T13.35.08.095,2.27955508232117,-0.79052734375,-0.3232421875,0.640625
1572629708095,2019-11-01T13.35.08.095,2.27955508232117,-0.79052734375,-0.32373046875,0.64013671875
1572629708215,2019-11-01T13.35.08.215,2.39946401119232,-0.78955078125,-0.32421875,0.64013671875
1572629708215,2019-11-01T13.35.08.215,2.39946401119232,-0.7919921875,-0.3232421875,0.640625
1572629708215,2019-11-01T13.35.08.215,2.39946401119232,-0.7900390625,-0.32470703125,0.6396484375
1572629708455,2019-11-01T13.35.08.455,2.63952898979187,-0.79052734375,-0.326171875,0.6396484375
1572629708455,2019-11-01T13.35.08.455,2.63952898979187,-0.79150390625,-0.32373046875,0.640625
1572629708455,2019-11-01T13.35.08.455,2.63952898979187,-0.7900390625,-0.32470703125,0.64111328125
1572629708725,2019-11-01T13.35.08.725,2.90943002700806,-0.79150390625,-0.326171875,0.6396484375
1572629708725,2019-11-01T13.35.08.725,2.90943002700806,-0.7880859375,-0.3271484375,0.64013671875
1572629708725,2019-11-01T13.35.08.725,2.90943002700806,-0.78955078125,-0.3291015625,0.63916015625
1572629708935,2019-11-01T13.35.08.935,3.11957609653473,-0.79052734375,-0.326171875,0.6396484375
1572629708935,2019-11-01T13.35.08.935,3.11957609653473,-0.7919921875,-0.32275390625,0.64111328125
