epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572455405195,2019-10-30T13.10.05.195,4.37548828125,0.0048828125,-0.97314453125,-0.279296875
1572455405274,2019-10-30T13.10.05.274,4.45458984375,0.00634765625,-0.97265625,-0.27978515625
1572455405355,2019-10-30T13.10.05.355,4.53515625,0.00341796875,-0.97119140625,-0.2802734375
1572455405434,2019-10-30T13.10.05.434,4.6142578125,0.00537109375,-0.97412109375,-0.27978515625
1572455405513,2019-10-30T13.10.05.513,4.693359375,0.00390625,-0.96923828125,-0.27880859375
1572455405592,2019-10-30T13.10.05.592,4.7724609375,0.00537109375,-0.97412109375,-0.279296875
1572455405672,2019-10-30T13.10.05.672,4.85302734375,0.0048828125,-0.97216796875,-0.279296875
1572455405752,2019-10-30T13.10.05.752,4.93212890625,0.00439453125,-0.970703125,-0.27880859375
1572455405831,2019-10-30T13.10.05.831,5.01123046875,0.005859375,-0.9716796875,-0.2802734375
1572455405911,2019-10-30T13.10.05.911,5.091796875,0.005859375,-0.97265625,-0.27978515625
1572455405990,2019-10-30T13.10.05.990,5.1708984375,0.0048828125,-0.9716796875,-0.27880859375
1572455406069,2019-10-30T13.10.06.069,5.25,0.00439453125,-0.97119140625,-0.279296875
1572455406150,2019-10-30T13.10.06.150,5.33056640625,0.00537109375,-0.97216796875,-0.279296875
1572455406229,2019-10-30T13.10.06.229,5.40966796875,0.00537109375,-0.9716796875,-0.27978515625
1572455406308,2019-10-30T13.10.06.308,5.48876953125,0.0048828125,-0.97119140625,-0.27978515625
1572455406389,2019-10-30T13.10.06.389,5.5693359375,0.0048828125,-0.97216796875,-0.27978515625
1572455406468,2019-10-30T13.10.06.468,5.6484375,0.00390625,-0.97119140625,-0.279296875
1572455406547,2019-10-30T13.10.06.547,5.7275390625,0.005859375,-0.97265625,-0.2802734375
1572455406626,2019-10-30T13.10.06.626,5.806640625,0.0048828125,-0.9716796875,-0.279296875
1572455406707,2019-10-30T13.10.06.707,5.88720703125,0.005859375,-0.9716796875,-0.27978515625
1572455406786,2019-10-30T13.10.06.786,5.96630859375,0.00390625,-0.97119140625,-0.2802734375
1572455406865,2019-10-30T13.10.06.865,6.04541015625,0.00537109375,-0.97265625,-0.279296875
1572455406945,2019-10-30T13.10.06.945,6.1259765625,0.00537109375,-0.9716796875,-0.27880859375
1572455407025,2019-10-30T13.10.07.025,6.205078125,0.0048828125,-0.97119140625,-0.27880859375
1572455407104,2019-10-30T13.10.07.104,6.2841796875,0.005859375,-0.97314453125,-0.2802734375
1572455407184,2019-10-30T13.10.07.184,6.36474609375,0.00537109375,-0.97216796875,-0.27978515625
1572455407263,2019-10-30T13.10.07.263,6.44384765625,0.00634765625,-0.97216796875,-0.279296875
1572455407342,2019-10-30T13.10.07.342,6.52294921875,0.00390625,-0.97216796875,-0.27880859375
1572455407422,2019-10-30T13.10.07.422,6.60205078125,0.00439453125,-0.9716796875,-0.279296875
1572455407502,2019-10-30T13.10.07.502,6.6826171875,0.0048828125,-0.97314453125,-0.28125
1572455407581,2019-10-30T13.10.07.581,6.76171875,0.0048828125,-0.97119140625,-0.279296875
1572455407660,2019-10-30T13.10.07.660,6.8408203125,0.0048828125,-0.97314453125,-0.27978515625
1572455407741,2019-10-30T13.10.07.741,6.92138671875,0.00634765625,-0.97216796875,-0.27978515625
1572455407820,2019-10-30T13.10.07.820,7.00048828125,0.00537109375,-0.97216796875,-0.279296875
1572455407899,2019-10-30T13.10.07.899,7.07958984375,0.0048828125,-0.97216796875,-0.27978515625
1572455407980,2019-10-30T13.10.07.980,7.16015625,0.00341796875,-0.9697265625,-0.279296875
1572455408059,2019-10-30T13.10.08.059,7.2392578125,0.0048828125,-0.974609375,-0.27978515625
1572455408138,2019-10-30T13.10.08.138,7.318359375,0.0048828125,-0.9716796875,-0.28076171875
1572455408217,2019-10-30T13.10.08.217,7.3974609375,0.00537109375,-0.9736328125,-0.27978515625
1572455408297,2019-10-30T13.10.08.297,7.47802734375,0.00439453125,-0.9697265625,-0.279296875
1572455408377,2019-10-30T13.10.08.377,7.55712890625,0.00634765625,-0.97412109375,-0.27978515625
1572455408456,2019-10-30T13.10.08.456,7.63623046875,0.0068359375,-0.9716796875,-0.27978515625
1572455408536,2019-10-30T13.10.08.536,7.716796875,-0.0078125,-0.970703125,-0.2802734375
1572455408615,2019-10-30T13.10.08.615,7.7958984375,0.0029296875,-0.9736328125,-0.27978515625
1572455408694,2019-10-30T13.10.08.694,7.875,-0.0087890625,-0.9716796875,-0.28076171875
1572455408775,2019-10-30T13.10.08.775,7.95556640625,-0.00244140625,-0.97412109375,-0.2802734375
1572455408854,2019-10-30T13.10.08.854,8.03466796875,-0.005859375,-0.9716796875,-0.2802734375
1572455408933,2019-10-30T13.10.08.933,8.11376953125,-0.01318359375,-0.970703125,-0.27880859375
1572455409014,2019-10-30T13.10.09.014,8.1943359375,0.00439453125,-0.974609375,-0.28173828125
1572455409093,2019-10-30T13.10.09.093,8.2734375,-0.01123046875,-0.9736328125,-0.279296875
1572455409172,2019-10-30T13.10.09.172,8.3525390625,-0.00927734375,-0.9697265625,-0.28173828125
1572455409251,2019-10-30T13.10.09.251,8.431640625,-0.0107421875,-0.9716796875,-0.28076171875
1572455409332,2019-10-30T13.10.09.332,8.51220703125,0.00244140625,-0.96923828125,-0.279296875
1572455409411,2019-10-30T13.10.09.411,8.59130859375,0.02099609375,-0.97216796875,-0.279296875
1572455409490,2019-10-30T13.10.09.490,8.67041015625,0.02880859375,-0.9658203125,-0.27734375
1572455409570,2019-10-30T13.10.09.570,8.7509765625,0.10400390625,-0.98046875,-0.2822265625
1572455409650,2019-10-30T13.10.09.650,8.830078125,0.01220703125,-0.9658203125,-0.2783203125
1572455409729,2019-10-30T13.10.09.729,8.9091796875,-0.0732421875,-0.94482421875,-0.27490234375
1572455409809,2019-10-30T13.10.09.809,8.98974609375,0.07568359375,-0.9658203125,-0.27685546875
1572455409888,2019-10-30T13.10.09.888,9.06884765625,0.07958984375,-0.9267578125,-0.26806640625
1572455409967,2019-10-30T13.10.09.967,9.14794921875,0.36962890625,-0.91796875,-0.2587890625
1572455410048,2019-10-30T13.10.10.048,9.228515625,0.3349609375,-0.91064453125,-0.2626953125
1572455410127,2019-10-30T13.10.10.127,9.3076171875,0.36279296875,-0.8759765625,-0.24951171875
1572455410206,2019-10-30T13.10.10.206,9.38671875,0.4365234375,-0.86572265625,-0.248046875
1572455410285,2019-10-30T13.10.10.285,9.4658203125,0.42041015625,-0.861328125,-0.2451171875
1572455410366,2019-10-30T13.10.10.366,9.54638671875,0.39794921875,-0.85888671875,-0.24658203125
1572455410445,2019-10-30T13.10.10.445,9.62548828125,0.38330078125,-0.8486328125,-0.2421875
1572455410524,2019-10-30T13.10.10.524,9.70458984375,0.41015625,-0.814453125,-0.23388671875
1572455410605,2019-10-30T13.10.10.605,9.78515625,0.62646484375,-0.71875,-0.1982421875
1572455410684,2019-10-30T13.10.10.684,9.8642578125,0.7138671875,-0.67138671875,-0.1845703125
1572455410763,2019-10-30T13.10.10.763,9.943359375,0.732421875,-0.611328125,-0.1708984375
1572455410843,2019-10-30T13.10.10.843,10.02392578125,0.7666015625,-0.59130859375,-0.173828125
1572455410922,2019-10-30T13.10.10.922,10.10302734375,0.7255859375,-0.6279296875,-0.18701171875
1572455411002,2019-10-30T13.10.11.002,10.18212890625,0.69921875,-0.61767578125,-0.1806640625
1572455411081,2019-10-30T13.10.11.081,10.26123046875,0.65771484375,-0.62353515625,-0.1806640625
1572455411161,2019-10-30T13.10.11.161,10.341796875,0.71728515625,-0.58642578125,-0.17431640625
1572455411240,2019-10-30T13.10.11.240,10.4208984375,0.806640625,-0.55322265625,-0.1728515625
