epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),file_num,person,activity
1582744240639,2020-02-26T14.10.40.639,13.406,-0.609,0.792,-0.022,5,Sabrina,squat
1582744240718,2020-02-26T14.10.40.718,13.485,-0.590,0.796,-0.024,5,Sabrina,squat
1582744240799,2020-02-26T14.10.40.799,13.566,-0.612,0.804,-0.015,5,Sabrina,squat
1582744240878,2020-02-26T14.10.40.878,13.645,-0.663,0.786,-0.035,5,Sabrina,squat
1582744240957,2020-02-26T14.10.40.957,13.724,-0.750,0.638,-0.017,5,Sabrina,squat
1582744241036,2020-02-26T14.10.41.036,13.803,-0.806,0.547,0.003,5,Sabrina,squat
1582744241115,2020-02-26T14.10.41.115,13.882,-0.834,0.557,-0.051,5,Sabrina,squat
1582744241195,2020-02-26T14.10.41.195,13.962,-0.882,0.401,0.001,5,Sabrina,squat
1582744241275,2020-02-26T14.10.41.275,14.042,-0.901,0.421,-0.013,5,Sabrina,squat
1582744241354,2020-02-26T14.10.41.354,14.121,-0.913,0.570,-0.029,5,Sabrina,squat
1582744241433,2020-02-26T14.10.41.433,14.200,-0.947,0.406,-0.021,5,Sabrina,squat
1582744241592,2020-02-26T14.10.41.592,14.359,-0.941,0.365,0.015,5,Sabrina,squat
1582744241671,2020-02-26T14.10.41.671,14.438,-0.952,0.363,0.009,5,Sabrina,squat
1582744241751,2020-02-26T14.10.41.751,14.518,-0.958,0.346,-0.022,5,Sabrina,squat
1582744241909,2020-02-26T14.10.41.909,14.676,-0.974,0.320,-0.009,5,Sabrina,squat
1582744242068,2020-02-26T14.10.42.068,14.835,-0.940,0.322,-0.014,5,Sabrina,squat
1582744242147,2020-02-26T14.10.42.147,14.914,-0.972,0.300,-0.007,5,Sabrina,squat
1582744242385,2020-02-26T14.10.42.385,15.152,-0.997,0.224,-0.004,5,Sabrina,squat
1582744242465,2020-02-26T14.10.42.465,15.232,-1.008,0.188,-0.018,5,Sabrina,squat
1582744242623,2020-02-26T14.10.42.623,15.390,-1.017,0.149,0.000,5,Sabrina,squat
1582744243099,2020-02-26T14.10.43.099,15.866,-1.019,0.126,0.002,5,Sabrina,squat
1582744243259,2020-02-26T14.10.43.259,16.026,-0.999,0.106,-0.017,5,Sabrina,squat
1582744243338,2020-02-26T14.10.43.338,16.105,-1.024,0.065,-0.007,5,Sabrina,squat
1582744243417,2020-02-26T14.10.43.417,16.184,-1.037,0.058,-0.001,5,Sabrina,squat
1582744243496,2020-02-26T14.10.43.496,16.263,-1.018,0.043,-0.010,5,Sabrina,squat
1582744243735,2020-02-26T14.10.43.735,16.502,-1.079,-0.013,-0.009,5,Sabrina,squat
1582744243814,2020-02-26T14.10.43.814,16.581,-1.208,0.002,-0.009,5,Sabrina,squat
1582744243893,2020-02-26T14.10.43.893,16.660,-1.225,-0.014,-0.005,5,Sabrina,squat
1582744243972,2020-02-26T14.10.43.972,16.739,-0.960,0.007,-0.004,5,Sabrina,squat
1582744244051,2020-02-26T14.10.44.051,16.818,-0.657,0.013,-0.018,5,Sabrina,squat
1582744244130,2020-02-26T14.10.44.130,16.897,-0.863,-0.018,-0.061,5,Sabrina,squat
1582744244209,2020-02-26T14.10.44.209,16.976,-1.203,-0.012,-0.072,5,Sabrina,squat
1582744244290,2020-02-26T14.10.44.290,17.057,-1.139,0.022,-0.042,5,Sabrina,squat
1582744244369,2020-02-26T14.10.44.369,17.136,-0.976,0.018,-0.053,5,Sabrina,squat
1582744244448,2020-02-26T14.10.44.448,17.215,-0.969,0.001,-0.043,5,Sabrina,squat
1582744244527,2020-02-26T14.10.44.527,17.294,-0.998,0.007,-0.023,5,Sabrina,squat
1582744244606,2020-02-26T14.10.44.606,17.373,-0.987,-0.052,-0.054,5,Sabrina,squat
1582744244685,2020-02-26T14.10.44.685,17.452,-1.024,-0.032,-0.040,5,Sabrina,squat
1582744244766,2020-02-26T14.10.44.766,17.533,-1.051,-0.021,-0.001,5,Sabrina,squat
1582744244845,2020-02-26T14.10.44.845,17.612,-1.043,-0.023,0.091,5,Sabrina,squat
1582744244924,2020-02-26T14.10.44.924,17.691,-0.991,0.034,0.152,5,Sabrina,squat
1582744245003,2020-02-26T14.10.45.003,17.770,-0.960,0.062,0.110,5,Sabrina,squat
1582744245082,2020-02-26T14.10.45.082,17.849,-0.976,0.016,0.062,5,Sabrina,squat
1582744245161,2020-02-26T14.10.45.161,17.928,-1.083,0.009,0.064,5,Sabrina,squat
1582744245321,2020-02-26T14.10.45.321,18.088,-1.099,0.080,-0.126,5,Sabrina,squat
1582744245400,2020-02-26T14.10.45.400,18.167,-1.060,0.074,-0.138,5,Sabrina,squat
1582744245479,2020-02-26T14.10.45.479,18.246,-0.974,0.015,-0.104,5,Sabrina,squat
1582744245558,2020-02-26T14.10.45.558,18.325,-0.953,-0.030,-0.113,5,Sabrina,squat
1582744245637,2020-02-26T14.10.45.637,18.404,-0.972,-0.028,-0.136,5,Sabrina,squat
1582744245717,2020-02-26T14.10.45.717,18.484,-0.983,-0.014,-0.118,5,Sabrina,squat
1582744245797,2020-02-26T14.10.45.797,18.564,-1.018,-0.005,-0.098,5,Sabrina,squat
1582744245876,2020-02-26T14.10.45.876,18.643,-1.046,0.025,0.001,5,Sabrina,squat
1582744245955,2020-02-26T14.10.45.955,18.722,-1.018,0.034,0.074,5,Sabrina,squat
1582744246034,2020-02-26T14.10.46.034,18.801,-1.051,0.047,0.098,5,Sabrina,squat
1582744246193,2020-02-26T14.10.46.193,18.960,-1.072,0.037,0.199,5,Sabrina,squat
1582744246272,2020-02-26T14.10.46.272,19.039,-0.979,0.016,0.147,5,Sabrina,squat
1582744246352,2020-02-26T14.10.46.352,19.119,-1.026,0.004,0.148,5,Sabrina,squat
1582744246431,2020-02-26T14.10.46.431,19.198,-1.068,-0.016,0.121,5,Sabrina,squat
1582744246510,2020-02-26T14.10.46.510,19.277,-1.012,-0.009,0.059,5,Sabrina,squat
1582744246590,2020-02-26T14.10.46.590,19.357,-1.003,0.007,-0.002,5,Sabrina,squat
1582744246669,2020-02-26T14.10.46.669,19.436,-1.021,0.037,-0.017,5,Sabrina,squat
1582744246748,2020-02-26T14.10.46.748,19.515,-1.004,0.047,-0.061,5,Sabrina,squat
1582744246828,2020-02-26T14.10.46.828,19.595,-0.975,0.029,-0.134,5,Sabrina,squat
1582744246907,2020-02-26T14.10.46.907,19.674,-0.983,0.032,-0.129,5,Sabrina,squat
1582744247066,2020-02-26T14.10.47.066,19.833,-1.019,0.039,-0.038,5,Sabrina,squat
1582744247145,2020-02-26T14.10.47.145,19.912,-1.068,0.072,-0.064,5,Sabrina,squat
1582744247224,2020-02-26T14.10.47.224,19.991,-1.060,0.075,-0.051,5,Sabrina,squat
1582744247304,2020-02-26T14.10.47.304,20.071,-1.019,0.072,-0.028,5,Sabrina,squat
1582744247384,2020-02-26T14.10.47.384,20.151,-1.027,0.058,-0.030,5,Sabrina,squat
1582744247463,2020-02-26T14.10.47.463,20.230,-1.037,0.037,-0.012,5,Sabrina,squat
1582744247621,2020-02-26T14.10.47.621,20.388,-0.999,0.042,0.037,5,Sabrina,squat
1582744247700,2020-02-26T14.10.47.700,20.467,-0.982,0.061,0.037,5,Sabrina,squat
1582744247779,2020-02-26T14.10.47.779,20.546,-0.991,0.065,0.029,5,Sabrina,squat
1582744247860,2020-02-26T14.10.47.860,20.627,-1.069,0.081,0.026,5,Sabrina,squat
1582744247939,2020-02-26T14.10.47.939,20.706,-1.029,0.068,0.001,5,Sabrina,squat
1582744248018,2020-02-26T14.10.48.018,20.785,-1.011,0.087,0.002,5,Sabrina,squat
1582744248097,2020-02-26T14.10.48.097,20.864,-1.034,0.074,0.008,5,Sabrina,squat
1582744248176,2020-02-26T14.10.48.176,20.943,-1.008,0.072,-0.031,5,Sabrina,squat
1582744248255,2020-02-26T14.10.48.255,21.022,-1.001,0.079,-0.046,5,Sabrina,squat
1582744248334,2020-02-26T14.10.48.334,21.101,-1.017,0.065,-0.017,5,Sabrina,squat
1582744248415,2020-02-26T14.10.48.415,21.182,-1.000,0.082,-0.017,5,Sabrina,squat
1582744248573,2020-02-26T14.10.48.573,21.340,-1.040,0.114,-0.025,5,Sabrina,squat
1582744248652,2020-02-26T14.10.48.652,21.419,-1.047,0.115,-0.012,5,Sabrina,squat
1582744248731,2020-02-26T14.10.48.731,21.498,-1.021,0.107,-0.020,5,Sabrina,squat
1582744248891,2020-02-26T14.10.48.891,21.658,-1.031,0.096,-0.028,5,Sabrina,squat
1582744248970,2020-02-26T14.10.48.970,21.737,-1.060,0.088,-0.010,5,Sabrina,squat
1582744249128,2020-02-26T14.10.49.128,21.895,-0.990,0.122,-0.013,5,Sabrina,squat
1582744249207,2020-02-26T14.10.49.207,21.974,-0.965,0.079,-0.005,5,Sabrina,squat
1582744249286,2020-02-26T14.10.49.286,22.053,-0.982,0.060,-0.010,5,Sabrina,squat
1582744249365,2020-02-26T14.10.49.365,22.132,-0.960,0.071,-0.014,5,Sabrina,squat
1582744249446,2020-02-26T14.10.49.446,22.213,-1.043,0.076,0.002,5,Sabrina,squat
1582744249525,2020-02-26T14.10.49.525,22.292,-1.081,0.104,0.015,5,Sabrina,squat
1582744249604,2020-02-26T14.10.49.604,22.371,-0.951,0.123,0.006,5,Sabrina,squat
1582744249683,2020-02-26T14.10.49.683,22.450,-0.822,0.131,0.016,5,Sabrina,squat
1582744249762,2020-02-26T14.10.49.762,22.529,-0.790,0.077,0.012,5,Sabrina,squat
1582744249842,2020-02-26T14.10.49.842,22.609,-0.809,0.027,-0.002,5,Sabrina,squat
1582744249922,2020-02-26T14.10.49.922,22.689,-0.853,-0.007,-0.004,5,Sabrina,squat
1582744250001,2020-02-26T14.10.50.001,22.768,-0.982,0.036,0.022,5,Sabrina,squat
1582744250080,2020-02-26T14.10.50.080,22.847,-1.019,0.009,0.017,5,Sabrina,squat
1582744250159,2020-02-26T14.10.50.159,22.926,-0.986,-0.056,0.012,5,Sabrina,squat
1582744250318,2020-02-26T14.10.50.318,23.085,-1.012,-0.163,-0.015,5,Sabrina,squat
1582744250397,2020-02-26T14.10.50.397,23.164,-1.039,-0.128,-0.014,5,Sabrina,squat
1582744250477,2020-02-26T14.10.50.477,23.244,-1.092,-0.089,0.006,5,Sabrina,squat
1582744250556,2020-02-26T14.10.50.556,23.323,-1.144,-0.111,-0.015,5,Sabrina,squat
1582744250635,2020-02-26T14.10.50.635,23.402,-1.201,-0.148,-0.060,5,Sabrina,squat
1582744250715,2020-02-26T14.10.50.715,23.482,-1.319,-0.150,-0.047,5,Sabrina,squat
1582744250794,2020-02-26T14.10.50.794,23.561,-1.431,-0.125,-0.044,5,Sabrina,squat
1582744250873,2020-02-26T14.10.50.873,23.640,-1.394,-0.108,-0.048,5,Sabrina,squat
1582744250953,2020-02-26T14.10.50.953,23.720,-1.244,-0.137,-0.039,5,Sabrina,squat
1582744251032,2020-02-26T14.10.51.032,23.799,-1.163,-0.127,-0.012,5,Sabrina,squat
1582744251112,2020-02-26T14.10.51.112,23.879,-1.140,-0.089,-0.005,5,Sabrina,squat
1582744251191,2020-02-26T14.10.51.191,23.958,-1.124,-0.062,-0.004,5,Sabrina,squat
1582744251270,2020-02-26T14.10.51.270,24.037,-1.088,-0.059,0.003,5,Sabrina,squat
1582744251349,2020-02-26T14.10.51.349,24.116,-1.000,-0.079,-0.008,5,Sabrina,squat
1582744251428,2020-02-26T14.10.51.428,24.195,-0.889,-0.066,-0.004,5,Sabrina,squat
1582744251509,2020-02-26T14.10.51.509,24.276,-0.754,-0.075,0.007,5,Sabrina,squat
1582744251588,2020-02-26T14.10.51.588,24.355,-0.680,-0.036,0.003,5,Sabrina,squat
1582744251667,2020-02-26T14.10.51.667,24.434,-0.732,0.011,0.010,5,Sabrina,squat
1582744251746,2020-02-26T14.10.51.746,24.513,-0.862,-0.011,0.023,5,Sabrina,squat
1582744251825,2020-02-26T14.10.51.825,24.592,-1.020,-0.030,0.019,5,Sabrina,squat
1582744251904,2020-02-26T14.10.51.904,24.671,-1.006,-0.050,0.035,5,Sabrina,squat
1582744251985,2020-02-26T14.10.51.985,24.752,-0.896,-0.015,0.023,5,Sabrina,squat
1582744252064,2020-02-26T14.10.52.064,24.831,-0.880,0.010,0.010,5,Sabrina,squat
1582744252143,2020-02-26T14.10.52.143,24.910,-0.794,-0.005,0.007,5,Sabrina,squat
1582744252222,2020-02-26T14.10.52.222,24.989,-0.663,-0.072,0.001,5,Sabrina,squat
1582744252301,2020-02-26T14.10.52.301,25.068,-0.735,-0.103,0.000,5,Sabrina,squat
1582744252380,2020-02-26T14.10.52.380,25.147,-0.918,-0.100,0.015,5,Sabrina,squat
1582744252459,2020-02-26T14.10.52.459,25.226,-1.058,-0.079,0.031,5,Sabrina,squat
1582744252619,2020-02-26T14.10.52.619,25.386,-1.070,-0.134,0.004,5,Sabrina,squat
1582744252698,2020-02-26T14.10.52.698,25.465,-1.091,-0.196,0.010,5,Sabrina,squat
1582744252777,2020-02-26T14.10.52.777,25.544,-1.119,-0.216,0.024,5,Sabrina,squat
1582744252856,2020-02-26T14.10.52.856,25.623,-1.243,-0.208,0.026,5,Sabrina,squat
1582744252935,2020-02-26T14.10.52.935,25.702,-1.504,-0.218,0.006,5,Sabrina,squat
1582744253016,2020-02-26T14.10.53.016,25.783,-1.592,-0.135,0.003,5,Sabrina,squat
1582744253095,2020-02-26T14.10.53.095,25.862,-1.323,-0.086,0.014,5,Sabrina,squat
1582744253174,2020-02-26T14.10.53.174,25.941,-1.141,-0.138,-0.016,5,Sabrina,squat
1582744253253,2020-02-26T14.10.53.253,26.020,-1.109,-0.195,-0.027,5,Sabrina,squat
1582744253332,2020-02-26T14.10.53.332,26.099,-1.125,-0.160,0.015,5,Sabrina,squat
1582744253411,2020-02-26T14.10.53.411,26.178,-1.133,-0.148,0.003,5,Sabrina,squat
1582744253490,2020-02-26T14.10.53.490,26.257,-1.090,-0.170,-0.012,5,Sabrina,squat
1582744253571,2020-02-26T14.10.53.571,26.338,-0.980,-0.178,-0.006,5,Sabrina,squat
1582744253650,2020-02-26T14.10.53.650,26.417,-0.789,-0.140,-0.003,5,Sabrina,squat
1582744253729,2020-02-26T14.10.53.729,26.496,-0.621,-0.108,0.003,5,Sabrina,squat
1582744253808,2020-02-26T14.10.53.808,26.575,-0.651,-0.081,0.004,5,Sabrina,squat
1582744253887,2020-02-26T14.10.53.887,26.654,-0.818,-0.122,-0.014,5,Sabrina,squat
1582744253967,2020-02-26T14.10.53.967,26.734,-0.980,-0.056,-0.002,5,Sabrina,squat
1582744254047,2020-02-26T14.10.54.047,26.814,-0.989,-0.125,0.019,5,Sabrina,squat
1582744254126,2020-02-26T14.10.54.126,26.893,-0.975,-0.130,0.050,5,Sabrina,squat
1582744254205,2020-02-26T14.10.54.205,26.972,-0.996,-0.156,0.049,5,Sabrina,squat
1582744254284,2020-02-26T14.10.54.284,27.051,-0.961,-0.112,0.028,5,Sabrina,squat
1582744254364,2020-02-26T14.10.54.364,27.131,-0.876,-0.055,0.004,5,Sabrina,squat
1582744254443,2020-02-26T14.10.54.443,27.210,-0.790,-0.054,0.022,5,Sabrina,squat
1582744254523,2020-02-26T14.10.54.523,27.290,-0.666,-0.109,0.033,5,Sabrina,squat
1582744254602,2020-02-26T14.10.54.602,27.369,-0.712,-0.155,-0.012,5,Sabrina,squat
1582744254681,2020-02-26T14.10.54.681,27.448,-0.902,-0.179,-0.013,5,Sabrina,squat
1582744254760,2020-02-26T14.10.54.760,27.527,-1.009,-0.216,0.016,5,Sabrina,squat
1582744254840,2020-02-26T14.10.54.840,27.607,-1.026,-0.234,0.025,5,Sabrina,squat
1582744254919,2020-02-26T14.10.54.919,27.686,-1.073,-0.260,0.021,5,Sabrina,squat
1582744254998,2020-02-26T14.10.54.998,27.765,-1.089,-0.308,0.024,5,Sabrina,squat
1582744255078,2020-02-26T14.10.55.078,27.845,-1.118,-0.325,0.038,5,Sabrina,squat
1582744255157,2020-02-26T14.10.55.157,27.924,-1.325,-0.326,0.048,5,Sabrina,squat
1582744255237,2020-02-26T14.10.55.237,28.004,-1.586,-0.358,-0.016,5,Sabrina,squat
1582744255316,2020-02-26T14.10.55.316,28.083,-1.494,-0.302,-0.054,5,Sabrina,squat
1582744255395,2020-02-26T14.10.55.395,28.162,-1.210,-0.281,-0.013,5,Sabrina,squat
1582744255474,2020-02-26T14.10.55.474,28.241,-1.085,-0.274,0.008,5,Sabrina,squat
1582744255554,2020-02-26T14.10.55.554,28.321,-1.063,-0.255,-0.009,5,Sabrina,squat
1582744255634,2020-02-26T14.10.55.634,28.401,-1.070,-0.254,-0.018,5,Sabrina,squat
1582744255713,2020-02-26T14.10.55.713,28.480,-1.085,-0.247,-0.005,5,Sabrina,squat
1582744255792,2020-02-26T14.10.55.792,28.559,-1.065,-0.218,-0.007,5,Sabrina,squat
1582744255871,2020-02-26T14.10.55.871,28.638,-0.958,-0.212,0.000,5,Sabrina,squat
1582744255950,2020-02-26T14.10.55.950,28.717,-0.820,-0.183,0.014,5,Sabrina,squat
1582744256029,2020-02-26T14.10.56.029,28.796,-0.688,-0.151,0.003,5,Sabrina,squat
1582744256110,2020-02-26T14.10.56.110,28.877,-0.640,-0.113,-0.000,5,Sabrina,squat
1582744256189,2020-02-26T14.10.56.189,28.956,-0.785,-0.153,0.006,5,Sabrina,squat
1582744256268,2020-02-26T14.10.56.268,29.035,-0.972,-0.193,0.016,5,Sabrina,squat
1582744256347,2020-02-26T14.10.56.347,29.114,-1.022,-0.208,0.022,5,Sabrina,squat
1582744256426,2020-02-26T14.10.56.426,29.193,-0.952,-0.177,0.007,5,Sabrina,squat
1582744256505,2020-02-26T14.10.56.505,29.272,-0.975,-0.168,0.025,5,Sabrina,squat
1582744256665,2020-02-26T14.10.56.665,29.432,-0.822,-0.142,-0.006,5,Sabrina,squat
1582744256744,2020-02-26T14.10.56.744,29.511,-0.700,-0.134,-0.011,5,Sabrina,squat
1582744256823,2020-02-26T14.10.56.823,29.590,-0.692,-0.122,0.027,5,Sabrina,squat
1582744256902,2020-02-26T14.10.56.902,29.669,-0.730,-0.197,-0.001,5,Sabrina,squat
1582744256981,2020-02-26T14.10.56.981,29.748,-0.948,-0.232,0.003,5,Sabrina,squat
1582744257062,2020-02-26T14.10.57.062,29.829,-1.047,-0.232,0.026,5,Sabrina,squat
1582744257141,2020-02-26T14.10.57.141,29.908,-1.024,-0.238,0.032,5,Sabrina,squat
1582744257220,2020-02-26T14.10.57.220,29.987,-1.072,-0.292,0.028,5,Sabrina,squat
1582744257299,2020-02-26T14.10.57.299,30.066,-1.112,-0.320,0.030,5,Sabrina,squat
1582744257378,2020-02-26T14.10.57.378,30.145,-1.122,-0.336,0.042,5,Sabrina,squat
1582744257457,2020-02-26T14.10.57.457,30.224,-1.342,-0.384,0.045,5,Sabrina,squat
1582744257538,2020-02-26T14.10.57.538,30.305,-1.581,-0.370,0.012,5,Sabrina,squat
1582744257617,2020-02-26T14.10.57.617,30.384,-1.498,-0.296,-0.007,5,Sabrina,squat
1582744257696,2020-02-26T14.10.57.696,30.463,-1.217,-0.285,0.000,5,Sabrina,squat
1582744257775,2020-02-26T14.10.57.775,30.542,-1.060,-0.281,-0.010,5,Sabrina,squat
1582744257854,2020-02-26T14.10.57.854,30.621,-1.033,-0.251,0.036,5,Sabrina,squat
1582744257933,2020-02-26T14.10.57.933,30.700,-1.090,-0.203,0.028,5,Sabrina,squat
1582744258014,2020-02-26T14.10.58.014,30.781,-1.053,-0.223,-0.012,5,Sabrina,squat
1582744258093,2020-02-26T14.10.58.093,30.860,-0.974,-0.261,-0.025,5,Sabrina,squat
1582744258172,2020-02-26T14.10.58.172,30.939,-0.875,-0.209,0.007,5,Sabrina,squat
1582744258251,2020-02-26T14.10.58.251,31.018,-0.741,-0.180,0.023,5,Sabrina,squat
1582744258330,2020-02-26T14.10.58.330,31.097,-0.624,-0.145,0.011,5,Sabrina,squat
1582744258409,2020-02-26T14.10.58.409,31.176,-0.675,-0.186,-0.026,5,Sabrina,squat
1582744258489,2020-02-26T14.10.58.489,31.256,-0.932,-0.193,0.000,5,Sabrina,squat
1582744258569,2020-02-26T14.10.58.569,31.336,-1.073,-0.163,0.039,5,Sabrina,squat
1582744258648,2020-02-26T14.10.58.648,31.415,-0.972,-0.176,0.025,5,Sabrina,squat
1582744258727,2020-02-26T14.10.58.727,31.494,-0.951,-0.216,0.007,5,Sabrina,squat
1582744258806,2020-02-26T14.10.58.806,31.573,-0.999,-0.270,0.016,5,Sabrina,squat
1582744258885,2020-02-26T14.10.58.885,31.652,-0.973,-0.236,0.020,5,Sabrina,squat
1582744258965,2020-02-26T14.10.58.965,31.732,-0.895,-0.160,0.006,5,Sabrina,squat
1582744259045,2020-02-26T14.10.59.045,31.812,-0.796,-0.120,-0.001,5,Sabrina,squat
1582744259124,2020-02-26T14.10.59.124,31.891,-0.648,-0.147,0.017,5,Sabrina,squat
1582744259203,2020-02-26T14.10.59.203,31.970,-0.668,-0.169,0.016,5,Sabrina,squat
1582744259282,2020-02-26T14.10.59.282,32.049,-0.889,-0.178,0.014,5,Sabrina,squat
1582744259362,2020-02-26T14.10.59.362,32.129,-1.033,-0.186,0.021,5,Sabrina,squat
1582744259441,2020-02-26T14.10.59.441,32.208,-1.022,-0.268,0.036,5,Sabrina,squat
1582744259521,2020-02-26T14.10.59.521,32.288,-1.016,-0.319,0.045,5,Sabrina,squat
1582744259600,2020-02-26T14.10.59.600,32.367,-1.024,-0.338,0.019,5,Sabrina,squat
1582744259679,2020-02-26T14.10.59.679,32.446,-1.058,-0.327,0.030,5,Sabrina,squat
1582744259759,2020-02-26T14.10.59.759,32.526,-1.149,-0.365,0.040,5,Sabrina,squat
1582744259838,2020-02-26T14.10.59.838,32.605,-1.398,-0.452,0.031,5,Sabrina,squat
1582744259917,2020-02-26T14.10.59.917,32.684,-1.620,-0.428,0.004,5,Sabrina,squat
1582744259997,2020-02-26T14.10.59.997,32.764,-1.460,-0.295,0.000,5,Sabrina,squat
1582744260076,2020-02-26T14.11.00.076,32.843,-1.143,-0.297,0.004,5,Sabrina,squat
1582744260156,2020-02-26T14.11.00.156,32.923,-1.052,-0.278,0.037,5,Sabrina,squat
1582744260235,2020-02-26T14.11.00.235,33.002,-1.070,-0.249,0.005,5,Sabrina,squat
1582744260393,2020-02-26T14.11.00.393,33.160,-1.034,-0.230,0.004,5,Sabrina,squat
1582744260473,2020-02-26T14.11.00.473,33.240,-0.969,-0.227,0.011,5,Sabrina,squat
1582744260552,2020-02-26T14.11.00.552,33.319,-0.820,-0.180,0.012,5,Sabrina,squat
1582744260632,2020-02-26T14.11.00.632,33.399,-0.645,-0.167,0.019,5,Sabrina,squat
1582744260711,2020-02-26T14.11.00.711,33.478,-0.621,-0.165,0.021,5,Sabrina,squat
1582744260790,2020-02-26T14.11.00.790,33.557,-0.781,-0.184,0.019,5,Sabrina,squat
1582744260869,2020-02-26T14.11.00.869,33.636,-1.012,-0.138,0.020,5,Sabrina,squat
1582744260949,2020-02-26T14.11.00.949,33.716,-0.999,-0.116,0.008,5,Sabrina,squat
1582744261029,2020-02-26T14.11.01.029,33.796,-0.961,-0.131,0.018,5,Sabrina,squat
1582744261108,2020-02-26T14.11.01.108,33.875,-1.017,-0.176,0.008,5,Sabrina,squat
1582744261266,2020-02-26T14.11.01.266,34.033,-0.983,-0.170,0.020,5,Sabrina,squat
1582744261345,2020-02-26T14.11.01.345,34.112,-0.938,-0.156,0.009,5,Sabrina,squat
1582744261424,2020-02-26T14.11.01.424,34.191,-0.865,-0.096,0.006,5,Sabrina,squat
1582744261505,2020-02-26T14.11.01.505,34.272,-0.669,-0.117,0.004,5,Sabrina,squat
1582744261584,2020-02-26T14.11.01.584,34.351,-0.648,-0.151,0.010,5,Sabrina,squat
1582744261663,2020-02-26T14.11.01.663,34.430,-0.799,-0.218,0.008,5,Sabrina,squat
1582744261742,2020-02-26T14.11.01.742,34.509,-0.921,-0.250,0.004,5,Sabrina,squat
1582744261821,2020-02-26T14.11.01.821,34.588,-1.037,-0.276,0.035,5,Sabrina,squat
1582744261981,2020-02-26T14.11.01.981,34.748,-1.103,-0.318,0.002,5,Sabrina,squat
1582744262060,2020-02-26T14.11.02.060,34.827,-1.177,-0.368,0.015,5,Sabrina,squat
1582744262139,2020-02-26T14.11.02.139,34.906,-1.140,-0.452,0.041,5,Sabrina,squat
1582744262218,2020-02-26T14.11.02.218,34.985,-1.218,-0.449,0.021,5,Sabrina,squat
1582744262297,2020-02-26T14.11.02.297,35.064,-1.457,-0.427,-0.003,5,Sabrina,squat
1582744262376,2020-02-26T14.11.02.376,35.143,-1.418,-0.378,0.007,5,Sabrina,squat
1582744262457,2020-02-26T14.11.02.457,35.224,-1.184,-0.334,0.030,5,Sabrina,squat
1582744262536,2020-02-26T14.11.02.536,35.303,-1.072,-0.374,0.008,5,Sabrina,squat
1582744262615,2020-02-26T14.11.02.615,35.382,-1.040,-0.382,0.013,5,Sabrina,squat
1582744262694,2020-02-26T14.11.02.694,35.461,-1.035,-0.356,-0.003,5,Sabrina,squat
1582744262852,2020-02-26T14.11.02.852,35.619,-1.007,-0.310,0.022,5,Sabrina,squat
1582744262933,2020-02-26T14.11.02.933,35.700,-0.845,-0.253,0.004,5,Sabrina,squat
1582744263012,2020-02-26T14.11.03.012,35.779,-0.715,-0.161,0.001,5,Sabrina,squat
1582744263091,2020-02-26T14.11.03.091,35.858,-0.677,-0.178,0.005,5,Sabrina,squat
1582744263170,2020-02-26T14.11.03.170,35.937,-0.730,-0.192,0.014,5,Sabrina,squat
1582744263249,2020-02-26T14.11.03.249,36.016,-0.868,-0.181,0.021,5,Sabrina,squat
1582744263328,2020-02-26T14.11.03.328,36.095,-1.000,-0.219,0.018,5,Sabrina,squat
1582744263409,2020-02-26T14.11.03.409,36.176,-0.991,-0.241,0.008,5,Sabrina,squat
1582744263488,2020-02-26T14.11.03.488,36.255,-0.958,-0.226,0.006,5,Sabrina,squat
1582744263567,2020-02-26T14.11.03.567,36.334,-0.991,-0.210,0.006,5,Sabrina,squat
1582744263646,2020-02-26T14.11.03.646,36.413,-0.996,-0.189,0.006,5,Sabrina,squat
1582744263725,2020-02-26T14.11.03.725,36.492,-0.939,-0.156,0.021,5,Sabrina,squat
1582744263804,2020-02-26T14.11.03.804,36.571,-0.834,-0.130,0.036,5,Sabrina,squat
1582744263885,2020-02-26T14.11.03.885,36.652,-0.713,-0.148,0.017,5,Sabrina,squat
1582744263964,2020-02-26T14.11.03.964,36.731,-0.628,-0.189,-0.002,5,Sabrina,squat
1582744264043,2020-02-26T14.11.04.043,36.810,-0.775,-0.228,0.015,5,Sabrina,squat
1582744264122,2020-02-26T14.11.04.122,36.889,-0.998,-0.239,0.035,5,Sabrina,squat
1582744264201,2020-02-26T14.11.04.201,36.968,-1.018,-0.277,0.059,5,Sabrina,squat
1582744264281,2020-02-26T14.11.04.281,37.048,-0.996,-0.302,0.032,5,Sabrina,squat
1582744264361,2020-02-26T14.11.04.361,37.128,-1.041,-0.326,0.011,5,Sabrina,squat
1582744264440,2020-02-26T14.11.04.440,37.207,-1.081,-0.324,0.040,5,Sabrina,squat
1582744264519,2020-02-26T14.11.04.519,37.286,-1.120,-0.409,0.049,5,Sabrina,squat
1582744264598,2020-02-26T14.11.04.598,37.365,-1.303,-0.559,0.017,5,Sabrina,squat
1582744264677,2020-02-26T14.11.04.677,37.444,-1.548,-0.564,-0.001,5,Sabrina,squat
1582744264757,2020-02-26T14.11.04.757,37.524,-1.477,-0.476,0.024,5,Sabrina,squat
1582744264837,2020-02-26T14.11.04.837,37.604,-1.160,-0.392,0.027,5,Sabrina,squat
