epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),file_num,person,activity
1582744938624,2020-02-26T14.22.18.624,15.782,0.451,0.571,-0.073,1,Sabrina,deadlift
1582744938704,2020-02-26T14.22.18.704,15.862,0.699,0.675,-0.020,1,Sabrina,deadlift
1582744938783,2020-02-26T14.22.18.783,15.941,0.685,0.678,-0.013,1,Sabrina,deadlift
1582744939022,2020-02-26T14.22.19.022,16.180,0.681,0.718,-0.003,1,Sabrina,deadlift
1582744939103,2020-02-26T14.22.19.103,16.261,0.688,0.711,-0.000,1,Sabrina,deadlift
1582744939182,2020-02-26T14.22.19.182,16.340,0.679,0.716,0.002,1,Sabrina,deadlift
1582744939262,2020-02-26T14.22.19.262,16.420,0.685,0.726,-0.001,1,Sabrina,deadlift
1582744939342,2020-02-26T14.22.19.342,16.500,0.680,0.717,-0.015,1,Sabrina,deadlift
1582744939501,2020-02-26T14.22.19.501,16.659,0.691,0.710,-0.033,1,Sabrina,deadlift
1582744939580,2020-02-26T14.22.19.580,16.738,0.715,0.684,-0.024,1,Sabrina,deadlift
1582744939661,2020-02-26T14.22.19.661,16.819,0.740,0.668,-0.017,1,Sabrina,deadlift
1582744939740,2020-02-26T14.22.19.740,16.898,0.756,0.657,-0.025,1,Sabrina,deadlift
1582744939821,2020-02-26T14.22.19.821,16.979,0.774,0.661,-0.025,1,Sabrina,deadlift
1582744939900,2020-02-26T14.22.19.900,17.058,0.826,0.690,-0.006,1,Sabrina,deadlift
1582744939979,2020-02-26T14.22.19.979,17.137,0.915,0.694,-0.008,1,Sabrina,deadlift
1582744940059,2020-02-26T14.22.20.059,17.217,0.930,0.669,-0.047,1,Sabrina,deadlift
1582744940138,2020-02-26T14.22.20.138,17.296,0.908,0.710,-0.067,1,Sabrina,deadlift
1582744940219,2020-02-26T14.22.20.219,17.377,0.893,0.698,-0.058,1,Sabrina,deadlift
1582744940298,2020-02-26T14.22.20.298,17.456,0.900,0.664,-0.043,1,Sabrina,deadlift
1582744940377,2020-02-26T14.22.20.377,17.535,0.916,0.581,-0.029,1,Sabrina,deadlift
1582744940458,2020-02-26T14.22.20.458,17.616,0.932,0.512,-0.018,1,Sabrina,deadlift
1582744940537,2020-02-26T14.22.20.537,17.695,0.917,0.586,-0.022,1,Sabrina,deadlift
1582744940617,2020-02-26T14.22.20.617,17.775,0.865,0.533,-0.025,1,Sabrina,deadlift
1582744940697,2020-02-26T14.22.20.697,17.855,0.731,0.333,-0.023,1,Sabrina,deadlift
1582744940777,2020-02-26T14.22.20.777,17.935,0.599,0.136,-0.012,1,Sabrina,deadlift
1582744940856,2020-02-26T14.22.20.856,18.014,0.526,0.309,-0.015,1,Sabrina,deadlift
1582744940935,2020-02-26T14.22.20.935,18.093,0.621,0.690,-0.043,1,Sabrina,deadlift
1582744941016,2020-02-26T14.22.21.016,18.174,0.808,0.701,-0.066,1,Sabrina,deadlift
1582744941095,2020-02-26T14.22.21.095,18.253,0.948,0.452,-0.054,1,Sabrina,deadlift
1582744941176,2020-02-26T14.22.21.176,18.334,0.914,0.470,-0.034,1,Sabrina,deadlift
1582744941255,2020-02-26T14.22.21.255,18.413,0.850,0.517,-0.028,1,Sabrina,deadlift
1582744941334,2020-02-26T14.22.21.334,18.492,0.711,0.494,-0.034,1,Sabrina,deadlift
1582744941414,2020-02-26T14.22.21.414,18.572,0.589,0.377,-0.031,1,Sabrina,deadlift
1582744941493,2020-02-26T14.22.21.493,18.651,0.658,0.272,-0.021,1,Sabrina,deadlift
1582744941574,2020-02-26T14.22.21.574,18.732,0.942,0.250,-0.015,1,Sabrina,deadlift
1582744941653,2020-02-26T14.22.21.653,18.811,1.000,0.340,-0.019,1,Sabrina,deadlift
1582744941732,2020-02-26T14.22.21.732,18.890,1.024,0.478,-0.030,1,Sabrina,deadlift
1582744941813,2020-02-26T14.22.21.813,18.971,1.057,0.581,-0.032,1,Sabrina,deadlift
1582744941892,2020-02-26T14.22.21.892,19.050,0.815,0.633,-0.027,1,Sabrina,deadlift
1582744941972,2020-02-26T14.22.21.972,19.130,0.772,0.516,-0.036,1,Sabrina,deadlift
1582744942052,2020-02-26T14.22.22.052,19.210,0.743,0.400,-0.029,1,Sabrina,deadlift
1582744942132,2020-02-26T14.22.22.132,19.290,0.721,0.350,-0.020,1,Sabrina,deadlift
1582744942211,2020-02-26T14.22.22.211,19.369,0.737,0.333,-0.003,1,Sabrina,deadlift
